Episodes_trained,Iteration,Epoch,Episode,Critic_loss,Actor_loss,Entropy
1,1,1,1,3242.800048828125,30.692138671875,1.9442354440689087
2,1,1,2,1566.937255859375,22.515010833740234,1.9442015886306763
3,1,1,3,3455.86572265625,32.99627685546875,1.9442100524902344
4,1,1,4,3839.99853515625,33.28205871582031,1.9442428350448608
5,1,1,5,2828.941650390625,28.511058807373047,1.9441734552383423
6,1,1,6,830.1805419921875,18.61458396911621,1.9441673755645752
7,1,1,7,4435.396484375,35.36359786987305,1.9441970586776733
8,1,1,8,1981.3372802734375,25.96870231628418,1.9441401958465576
9,1,1,9,3356.297119140625,30.80451202392578,1.94419264793396
10,1,1,10,3224.2353515625,30.577974319458008,1.9441816806793213
11,1,1,11,41.80549240112305,0.20277561247348785,1.9443588256835938
12,1,1,12,3868.04638671875,33.886444091796875,1.9441651105880737
13,1,1,13,3350.947509765625,31.3317813873291,1.9441962242126465
14,1,1,14,2829.65234375,29.934986114501953,1.944166660308838
15,1,1,15,3228.115966796875,30.92438507080078,1.944266676902771
16,1,1,16,2775.998046875,28.737022399902344,1.9441823959350586
17,1,1,17,2052.426513671875,27.9752197265625,1.9442274570465088
18,1,1,18,3894.388671875,33.12038803100586,1.9441618919372559
19,1,1,19,160.32810974121094,4.942205905914307,1.9440441131591797
20,1,1,20,3592.026611328125,32.1731071472168,1.944270133972168
21,1,1,21,2188.603759765625,26.77378273010254,1.9441643953323364
22,1,1,22,3311.178466796875,31.1326904296875,1.9441698789596558
23,1,1,23,741.9202880859375,16.434127807617188,1.9442026615142822
24,1,1,24,530.5314331054688,12.4354887008667,1.944166660308838
25,1,1,25,1171.351318359375,19.898571014404297,1.9442243576049805
26,1,1,26,3527.4931640625,31.912071228027344,1.9442451000213623
27,1,1,27,2417.445068359375,27.779109954833984,1.944185733795166
28,1,1,28,3409.22314453125,31.383373260498047,1.9442329406738281
29,1,1,29,2244.31298828125,26.129257202148438,1.944214940071106
30,1,1,30,790.5191040039062,16.969738006591797,1.9442545175552368
31,1,1,31,3957.46337890625,33.13059616088867,1.9441412687301636
32,1,1,32,214.68162536621094,7.422053337097168,1.9441782236099243
33,1,1,33,3649.519775390625,32.39132308959961,1.944189429283142
34,1,1,34,3345.373779296875,30.870946884155273,1.9442451000213623
35,1,1,35,338.8801574707031,9.25473403930664,1.9442481994628906
36,1,1,36,1230.724365234375,21.391664505004883,1.9441848993301392
37,1,1,37,517.207275390625,13.773544311523438,1.9442236423492432
38,1,1,38,200.9005126953125,6.694951057434082,1.944128394126892
39,1,1,39,3141.488037109375,30.278820037841797,1.9442460536956787
40,1,1,40,1989.08642578125,25.91642189025879,1.9442461729049683
41,1,1,41,3584.65185546875,32.05412292480469,1.9441795349121094
42,1,1,42,2981.64697265625,29.310651779174805,1.9442167282104492
43,1,1,43,3976.63916015625,34.2562141418457,1.944177269935608
44,1,1,44,2663.881591796875,27.653518676757812,1.9442003965377808
45,1,1,45,1408.33984375,22.548742294311523,1.9441922903060913
46,1,1,46,2362.763427734375,27.246889114379883,1.9442273378372192
47,1,1,47,683.6231079101562,17.780548095703125,1.944189190864563
48,1,1,48,3625.24755859375,32.76808547973633,1.9442042112350464
49,1,1,49,3547.510009765625,32.109764099121094,1.9441933631896973
50,1,1,50,3818.789306640625,33.348915100097656,1.9442254304885864
51,1,2,1,3090.87939453125,28.870603561401367,1.909138798713684
52,1,2,2,1467.227783203125,21.768430709838867,1.9101016521453857
53,1,2,3,3298.71240234375,32.51212692260742,1.90874445438385
54,1,2,4,3673.456298828125,32.48078918457031,1.9087680578231812
55,1,2,5,2685.80224609375,25.863309860229492,1.9088239669799805
56,1,2,6,757.4534301757812,17.4125919342041,1.9084968566894531
57,1,2,7,4253.77880859375,34.17924118041992,1.9082577228546143
58,1,2,8,1863.9559326171875,24.963977813720703,1.9085979461669922
59,1,2,9,3198.869384765625,29.137868881225586,1.9080761671066284
60,1,2,10,3068.94677734375,28.866357803344727,1.9082541465759277
61,1,2,11,25.018278121948242,0.16894006729125977,1.9047476053237915
62,1,2,12,3698.6748046875,33.87690353393555,1.9078021049499512
63,1,2,13,3194.231201171875,29.413105010986328,1.9078173637390137
64,1,2,14,2689.75341796875,28.264102935791016,1.9084326028823853
65,1,2,15,3076.77880859375,28.97182846069336,1.910124659538269
66,1,2,16,2634.027587890625,27.505821228027344,1.9082419872283936
67,1,2,17,1937.42724609375,28.77113151550293,1.9081355333328247
68,1,2,18,3723.099609375,32.00627136230469,1.908145785331726
69,1,2,19,127.80879974365234,3.5647103786468506,1.908598780632019
70,1,2,20,3429.8525390625,30.687620162963867,1.9091836214065552
71,1,2,21,2066.095458984375,25.46161651611328,1.9089457988739014
72,1,2,22,3156.75439453125,29.435014724731445,1.9086552858352661
73,1,2,23,672.328125,15.31635570526123,1.9098317623138428
74,1,2,24,469.2838134765625,11.160996437072754,1.9076993465423584
75,1,2,25,1081.30078125,17.261005401611328,1.9079219102859497
76,1,2,26,3367.41064453125,30.884502410888672,1.9078689813613892
77,1,2,27,2285.49169921875,26.67909812927246,1.90818452835083
78,1,2,28,3249.034423828125,29.808034896850586,1.9080058336257935
79,1,2,29,2121.0830078125,24.59836196899414,1.9097528457641602
80,1,2,30,719.3313598632812,15.5502347946167,1.90914785861969
81,1,2,31,3783.99560546875,32.541770935058594,1.9078236818313599
82,1,2,32,178.0460662841797,7.122961521148682,1.9066736698150635
83,1,2,33,3485.572265625,31.241270065307617,1.9085288047790527
